target,source,flow,target_name,source_name,target_source
2704,260,1584.0,"LOS ANGELES, CALIFORNIA",CANADA,2704-260
2904,260,1340.0,"PORTLAND, OREGON",CANADA,2904-260
1101,260,8069.0,"PHILADELPHIA, PENNSYLVANIA",CANADA,1101-260
3802,260,73282.0,"PORT HURON, MICHIGAN",CANADA,3802-260
3310,260,53073.0,"SWEETGRASS, MONTANA",CANADA,3310-260
3004,260,21194.0,"BLAINE, WASHINGTON",CANADA,3004-260
712,260,4574.0,"CHAMPL-RS PT, NEW YORK",CANADA,712-260
3302,260,13404.0,"EASTPORT, IDAHO",CANADA,3302-260
3604,260,52996.0,"INTER. FALLS, MINNESOTA",CANADA,3604-260
3403,260,20084.0,"PORTAL, NORTH DAKOTA",CANADA,3403-260
104,260,1059.0,"JACKMAN, MAINE",CANADA,104-260
901,260,31859.0,"BUFF-NIAG FL, NEW YORK",CANADA,901-260
2704,785,12801.0,"LOS ANGELES, CALIFORNIA",SAUDI ARABIA,2704-785
3601,260,14310.0,"DULUTH, MINNESOTA",CANADA,3601-260
2820,325,17120.0,"MARTINEZ, CALIFORNIA",ECUADOR,2820-325
2704,325,16827.0,"LOS ANGELES, CALIFORNIA",ECUADOR,2704-325
3010,785,396.0,"ANACORTES, WASHINGTON",SAUDI ARABIA,3010-785
3126,515,6220.0,"ANCHORAGE, ALASKA","KOREA, SOUTH",3126-515
2820,285,2986.0,"MARTINEZ, CALIFORNIA",COLOMBIA,2820-285
3010,260,43062.0,"ANACORTES, WASHINGTON",CANADA,3010-260
2704,391,4524.0,"LOS ANGELES, CALIFORNIA",GHANA,2704-391
2704,285,4934.0,"LOS ANGELES, CALIFORNIA",COLOMBIA,2704-285
2820,785,3643.0,"MARTINEZ, CALIFORNIA",SAUDI ARABIA,2820-785
2704,150,2092.0,"LOS ANGELES, CALIFORNIA",ARGENTINA,2704-150
2704,332,1960.0,"LOS ANGELES, CALIFORNIA",EQUATORIAL GUINEA,2704-332
3902,260,225702.0,"PEORIA, ILLINOIS",CANADA,3902-260
1401,260,68,"NORFOLK, VIRGINIA",CANADA,1401-260
3401,260,45363.0,"PEMBINA, NORTH DAKOTA",CANADA,3401-260
1303,428,126.0,"BALTIMORE, MARYLAND",GERMANY,1303-428
4909,785,214.0,"SAN JUAN, PUERTO RICO",SAUDI ARABIA,4909-785
4909,285,3022.0,"SAN JUAN, PUERTO RICO",COLOMBIA,4909-285
1003,830,4049.0,"NEWARK, NEW JERSEY",SPAIN,1003-830
4909,350,56.0,"SAN JUAN, PUERTO RICO",FRANCE,4909-350
4909,190,1105.0,"SAN JUAN, PUERTO RICO",BELGIUM,4909-190
4909,925,215.0,"SAN JUAN, PUERTO RICO",UNITED KINGDOM,4909-925
2101,785,441.0,"PORT ARTHUR, TEXAS",SAUDI ARABIA,2101-785
4909,685,44.0,"SAN JUAN, PUERTO RICO",NORWAY,4909-685
5301,455,4766.0,"HOUSTON, TEXAS",INDIA,5301-455
1003,747,1994.0,"NEWARK, NEW JERSEY",QATAR,1003-747
4909,520,268.0,"SAN JUAN, PUERTO RICO",KUWAIT,4909-520
1003,785,3410.0,"NEWARK, NEW JERSEY",SAUDI ARABIA,1003-785
2010,785,841.0,"GRAMERCY, LOUISIANA",SAUDI ARABIA,2010-785
3318,260,130.0,"ROOSVILLE, MONTANA",CANADA,3318-260
4908,805,1615.0,"PONCE, PUERTO RICO",RUSSIA,4908-805
4908,451,2725.0,"PONCE, PUERTO RICO",LITHUANIA,4908-451
4912,830,188.0,"GUAYANILLA, PUERTO RICO",SPAIN,4912-830
1303,260,994.0,"BALTIMORE, MARYLAND",CANADA,1303-260
502,830,139.0,"PROVIDENCE, RHODE ISLAND",SPAIN,502-830
